Cliente,Destinazione,Prezzo_Originario,Giorno_Partenza,Durata,Incasso_Effettivo,Categoria
Charlie Verdi,Camogli,1593.12,23-07-2026,12 giorni,1433.81,Europa
Bob Bianchi,Padova,989.98,12-06-2026,4 giorni,989.98,Europa
Charlie Verdi,Roma,1745.48,27-08-2026,14 giorni,1745.48,Europa
Diana Bruno,Padova,1455.26,25-07-2026,12 giorni,1455.26,Europa
Charlie Verdi,Padova,369.52,04-09-2026,6 giorni,332.57,Europa
Enrico Povia,Viareggio,1956.12,25-07-2026,9 giorni,1760.51,Europa
Diana Bruno,Padova,1570.05,17-09-2026,4 giorni,1413.04,Europa
Diana Bruno,Ginevra,1614.92,17-08-2026,5 giorni,1614.92,Europa
Enrico Povia,Brindisi,430.6,09-06-2026,11 giorni,430.6,Europa
Diana Bruno,Taranto,1010.69,03-09-2026,10 giorni,1010.69,Europa
Francesca Neri,Taranto,867.44,31-07-2026,4 giorni,780.7,Europa
Enrico Povia,Ginevra,1868.18,23-08-2026,11 giorni,1868.18,Europa
Alice Rossi,Roma,1358.96,21-07-2026,11 giorni,1358.96,Europa
Charlie Verdi,Camogli,1680.97,28-07-2026,2 giorni,1680.97,Europa
Bob Bianchi,Viareggio,998.15,23-08-2026,4 giorni,898.34,Europa
Francesca Neri,Brindisi,609.03,21-08-2026,9 giorni,548.13,Europa
Diana Bruno,Camogli,1198.25,16-08-2026,7 giorni,1078.42,Europa
Alice Rossi,Bisceglie,314.87,10-09-2026,11 giorni,283.38,Europa
Enrico Povia,Roma,1689.74,18-09-2026,12 giorni,1520.77,Europa
Bob Bianchi,Bari,1337.0,18-06-2026,10 giorni,1337.0,Europa
Alice Rossi,Roma,1564.56,06-09-2026,4 giorni,1564.56,Europa
Alice Rossi,Padova,838.15,26-08-2026,8 giorni,754.34,Europa
Diana Bruno,Brindisi,1947.26,01-08-2026,12 giorni,1752.53,Europa
Francesca Neri,Taranto,1807.62,14-06-2026,5 giorni,1807.62,Europa
Francesca Neri,Padova,1601.09,13-09-2026,10 giorni,1601.09,Europa
Alice Rossi,Camogli,550.35,17-08-2026,9 giorni,495.32,Europa
Enrico Povia,Camogli,1040.1,05-09-2026,9 giorni,936.09,Europa
Bob Bianchi,Viareggio,278.85,24-07-2026,6 giorni,250.97,Europa
Enrico Povia,Genoa,477.72,30-09-2026,4 giorni,477.72,Europa
Enrico Povia,Brindisi,1429.49,08-06-2026,12 giorni,1429.49,Europa
Alice Rossi,Viareggio,1540.57,23-07-2026,5 giorni,1540.57,Europa
Enrico Povia,Camogli,1941.52,04-09-2026,8 giorni,1747.37,Europa
Diana Bruno,Camogli,786.49,21-07-2026,10 giorni,707.84,Europa
Charlie Verdi,Viareggio,866.83,03-06-2026,6 giorni,866.83,Europa
Alice Rossi,Bari,1045.2,25-08-2026,3 giorni,1045.2,Europa
Enrico Povia,Padova,541.05,01-08-2026,13 giorni,486.94,Europa
Diana Bruno,Taranto,433.86,31-07-2026,3 giorni,390.47,Europa
Francesca Neri,Camogli,1056.27,07-07-2026,5 giorni,950.64,Europa
Alice Rossi,Padova,608.44,26-09-2026,10 giorni,608.44,Europa
Bob Bianchi,Roma,1405.67,26-09-2026,6 giorni,1405.67,Europa
Diana Bruno,Ginevra,986.87,26-07-2026,13 giorni,888.18,Europa
Enrico Povia,Roma,1698.82,04-09-2026,5 giorni,1698.82,Europa
Alice Rossi,Taranto,1460.48,29-08-2026,11 giorni,1460.48,Europa
Alice Rossi,Genoa,762.26,19-09-2026,7 giorni,686.03,Europa
Bob Bianchi,Roma,1698.07,28-08-2026,7 giorni,1528.26,Europa
Francesca Neri,Genoa,1648.58,22-06-2026,9 giorni,1648.58,Europa
Alice Rossi,Bisceglie,897.46,31-07-2026,13 giorni,897.46,Europa
Charlie Verdi,Brindisi,718.99,16-08-2026,6 giorni,647.09,Europa
Charlie Verdi,Genoa,1428.49,16-08-2026,9 giorni,1428.49,Europa
Francesca Neri,Bari,451.55,06-06-2026,12 giorni,406.4,Europa
Enrico Povia,Padova,559.83,20-08-2026,8 giorni,559.83,Europa
Charlie Verdi,Bisceglie,213.25,11-08-2026,4 giorni,213.25,Europa
Enrico Povia,Taranto,1616.46,29-09-2026,4 giorni,1616.46,Europa
Diana Bruno,Camogli,1396.73,12-08-2026,9 giorni,1396.73,Europa
Charlie Verdi,Roma,1469.3,22-07-2026,2 giorni,1322.37,Europa
Francesca Neri,Brindisi,1605.31,11-06-2026,2 giorni,1605.31,Europa
Enrico Povia,Bari,1026.05,24-07-2026,8 giorni,923.44,Europa
Diana Bruno,Camogli,1223.73,28-07-2026,9 giorni,1101.36,Europa
Charlie Verdi,Roma,451.63,06-08-2026,5 giorni,406.47,Europa
Alice Rossi,Taranto,406.15,03-06-2026,5 giorni,365.54,Europa
Alice Rossi,Bari,1403.13,06-08-2026,12 giorni,1262.82,Europa
Charlie Verdi,Taranto,1047.97,14-06-2026,6 giorni,1047.97,Europa
Charlie Verdi,Genoa,1217.42,30-06-2026,10 giorni,1095.68,Europa
Charlie Verdi,Viareggio,1577.0,02-09-2026,14 giorni,1419.3,Europa
Bob Bianchi,Bari,1342.49,27-09-2026,3 giorni,1208.24,Europa
Bob Bianchi,Viareggio,1196.44,07-08-2026,3 giorni,1076.8,Europa
Francesca Neri,Camogli,1206.57,27-07-2026,6 giorni,1085.91,Europa
Francesca Neri,Camogli,747.11,25-09-2026,4 giorni,672.4,Europa
Francesca Neri,Ginevra,255.47,19-09-2026,5 giorni,255.47,Europa
Charlie Verdi,Viareggio,986.09,21-06-2026,4 giorni,887.48,Europa
Charlie Verdi,Brindisi,586.25,27-09-2026,2 giorni,527.62,Europa
Diana Bruno,Brindisi,935.35,31-08-2026,3 giorni,841.82,Europa
Charlie Verdi,Camogli,1736.13,15-06-2026,13 giorni,1562.52,Europa
Bob Bianchi,Viareggio,621.09,03-09-2026,2 giorni,558.98,Europa
Charlie Verdi,Camogli,304.94,17-09-2026,10 giorni,274.45,Europa
Alice Rossi,Roma,706.49,03-07-2026,6 giorni,706.49,Europa
Diana Bruno,Padova,728.47,04-06-2026,14 giorni,655.62,Europa
Charlie Verdi,Camogli,1391.45,19-06-2026,13 giorni,1252.3,Europa
Alice Rossi,Ginevra,1202.66,27-08-2026,4 giorni,1202.66,Europa
Alice Rossi,Genoa,1611.02,08-07-2026,5 giorni,1611.02,Europa
Charlie Verdi,Roma,1395.76,31-07-2026,12 giorni,1256.18,Europa
Francesca Neri,Brindisi,931.5,02-06-2026,14 giorni,931.5,Europa
Bob Bianchi,Bari,1665.24,03-06-2026,4 giorni,1498.72,Europa
Enrico Povia,Viareggio,500.55,01-08-2026,5 giorni,450.5,Europa
Enrico Povia,Bari,240.88,21-07-2026,11 giorni,240.88,Europa
Alice Rossi,Ginevra,362.09,27-08-2026,2 giorni,362.09,Europa
Francesca Neri,Camogli,1500.25,23-07-2026,11 giorni,1500.25,Europa
Charlie Verdi,Genoa,1031.38,19-07-2026,3 giorni,928.24,Europa
Alice Rossi,Bisceglie,490.29,02-08-2026,5 giorni,490.29,Europa
Bob Bianchi,Taranto,1101.88,05-07-2026,8 giorni,991.69,Europa
Diana Bruno,Padova,474.16,12-08-2026,14 giorni,426.74,Europa
Diana Bruno,Bisceglie,1453.38,13-06-2026,12 giorni,1308.04,Europa
Charlie Verdi,Bari,1003.08,01-06-2026,3 giorni,1003.08,Europa
Charlie Verdi,Roma,885.84,22-09-2026,4 giorni,885.84,Europa
Alice Rossi,Camogli,742.72,17-08-2026,12 giorni,742.72,Europa
Francesca Neri,Camogli,1334.51,14-06-2026,10 giorni,1334.51,Europa
Charlie Verdi,Taranto,851.26,27-07-2026,12 giorni,766.13,Europa
Francesca Neri,Bari,357.77,13-08-2026,11 giorni,357.77,Europa
Diana Bruno,Roma,412.41,06-07-2026,13 giorni,412.41,Europa
Charlie Verdi,Bari,1931.42,22-07-2026,14 giorni,1738.28,Europa
